county_fips,county_name,cases,population,cases_per_100k,cases_per_100k_double
0500000US31135,Perkins County,"0.0","2891.0","0",0.00000
0500000US31137,Phelps County,"27.0","9034.0","298.87093203453617",298.87093
0500000US31139,Pierce County,"11.0","7148.0","153.88919977616118",153.88920
0500000US31141,Platte County,"688.0","33470.0","2055.572154167912",2055.57215
0500000US31143,Polk County,"13.0","5213.0","249.37655860349128",249.37656
0500000US31145,Red Willow County,"8.0","10724.0","74.59903021260725",74.59903
0500000US31147,Richardson County,"8.0","7865.0","101.71646535282899",101.71647
0500000US31149,Rock County,"2.0","1357.0","147.38393515106853",147.38394
0500000US31151,Saline County,"546.0","14224.0","3838.5826771653547",3838.58268
0500000US31153,Sarpy County,"1335.0","187196.0","713.1562640227355",713.15626
0500000US31155,Saunders County,"89.0","21578.0","412.45713226434333",412.45713
0500000US31157,Scotts Bluff County,"241.0","35618.0","676.6241787860071",676.62418
0500000US31159,Seward County,"47.0","17284.0","271.9277944920157",271.92779
0500000US31161,Sheridan County,"8.0","5246.0","152.49714067861228",152.49714
0500000US31163,Sherman County,"5.0","3001.0","166.61112962345885",166.61113
0500000US31165,Sioux County,"6.0","1166.0","514.5797598627788",514.57976
0500000US31167,Stanton County,"21.0","5920.0","354.72972972972974",354.72973
0500000US31169,Thayer County,"9.0","5003.0","179.8920647611433",179.89206
0500000US31171,Thomas County,"1.0","722.0","138.50415512465375",138.50416
0500000US31173,Thurston County,"169.0","7224.0","2339.4241417497233",2339.42414
0500000US31175,Valley County,"8.0","4158.0","192.4001924001924",192.40019
0500000US31177,Washington County,"58.0","20729.0","279.8012446331227",279.80124
0500000US31179,Wayne County,"31.0","9385.0","330.31433137986147",330.31433
0500000US31181,Webster County,"7.0","3487.0","200.7456266131345",200.74563
0500000US31183,Wheeler County,"0.0","783.0","0",0.00000
0500000US31185,York County,"51.0","13679.0","372.83427151107537",372.83427
0500000US32001,Churchill County,"24.0","24909.0","96.35071660845477",96.35072
0500000US32003,Clark County,"22286.0","2266715.0","983.1849173804383",983.18492
0500000US32005,Douglas County,"84.0","48905.0","171.7615785706983",171.76158
0500000US32007,Elko County,"240.0","52778.0","454.73492743188444",454.73493
0500000US32009,Esmeralda County,"0.0","873.0","0",0.00000
0500000US32011,Eureka County,"1.0","2029.0","49.28536224741252",49.28536
0500000US32013,Humboldt County,"90.0","16831.0","534.7275860020201",534.72759
0500000US32015,Lander County,"43.0","5532.0","777.295733911786",777.29573
0500000US32017,Lincoln County,"2.0","5183.0","38.58769052672198",38.58769
0500000US32019,Lyon County,"140.0","57510.0","243.4359241870979",243.43592
0500000US32021,Mineral County,"6.0","4505.0","133.18534961154273",133.18535
0500000US32023,Nye County,"186.0","46523.0","399.8022483502783",399.80225
0500000US32027,Pershing County,"12.0","6725.0","178.43866171003717",178.43866
0500000US32029,Storey County,"2.0","4123.0","48.50836769342712",48.50837
0500000US32031,Washoe County,"3507.0","471519.0","743.7664229861363",743.76642
0500000US32033,White Pine County,"7.0","9580.0","73.06889352818372",73.06889
0500000US32510,Carson City,"208.0","55916.0","371.98655125545463",371.98655
0500000US33001,Belknap County,"90.0","61303.0","146.81173841410697",146.81174
0500000US33003,Carroll County,"66.0","48910.0","134.94172970762625",134.94173
0500000US33005,Cheshire County,"75.0","76085.0","98.57396333048565",98.57396
0500000US33007,Coos County,"11.0","31563.0","34.85093305452587",34.85093
0500000US33009,Grafton County,"91.0","89886.0","101.23934761809403",101.23935
0500000US33011,Hillsborough County,"3410.0","417025.0","817.6967807685392",817.69678
0500000US33013,Merrimack County,"425.0","151391.0","280.730030186735",280.73003
0500000US33015,Rockingham County,"1520.0","309769.0","490.688222514196",490.68822
0500000US33017,Strafford County,"299.0","130633.0","228.88550366293356",228.88550
0500000US33019,Sullivan County,"35.0","43146.0","81.11991841653919",81.11992
0500000US34001,Atlantic County,"3001.0","263670.0","1138.165130655744",1138.16513
0500000US34003,Bergen County,"19847.0","932202.0","2129.044992394352",2129.04499
0500000US34005,Burlington County,"5360.0","445349.0","1203.5504738979992",1203.55047
0500000US34007,Camden County,"7670.0","506471.0","1514.4006270842754",1514.40063
0500000US34009,Cape May County,"732.0","92039.0","795.3150294983648",795.31503
0500000US34011,Cumberland County,"3046.0","149527.0","2037.0902913855023",2037.09029
0500000US34013,Essex County,"18988.0","798975.0","2376.5449482149",2376.54495
0500000US34015,Gloucester County,"2739.0","291636.0","939.1844628235198",939.18446
0500000US34017,Hudson County,"19089.0","672391.0","2838.9731569875266",2838.97316
0500000US34019,Hunterdon County,"1094.0","124371.0","879.6262794381328",879.62628
0500000US34021,Mercer County,"7778.0","367430.0","2116.8657975668834",2116.86580
0500000US34023,Middlesex County,"17020.0","825062.0","2062.875274827831",2062.87527
0500000US34025,Monmouth County,"9437.0","618795.0","1525.0608036587237",1525.06080
0500000US34027,Morris County,"6887.0","491845.0","1400.237879819862",1400.23788
0500000US34029,Ocean County,"9804.0","607186.0","1614.661734624975",1614.66173
0500000US34031,Passaic County,"17050.0","501826.0","3397.591994037774",3397.59199
0500000US34033,Salem County,"813.0","62385.0","1303.1978841067564",1303.19788
0500000US34035,Somerset County,"4998.0","328934.0","1519.4537506004244",1519.45375
0500000US34037,Sussex County,"1225.0","140488.0","871.9605944991742",871.96059
0500000US34039,Union County,"16471.0","556341.0","2960.594311762031",2960.59431
0500000US34041,Warren County,"1263.0","105267.0","1199.8062070734418",1199.80621
